PC1,PC2,True_Label,Cluster
-2.2647028088075887,0.48002659652098995,0,1
-2.0809611519657674,-0.6741335566053527,0,1
-2.3642290538903006,-0.3419080238846759,0,1
-2.2993842170427077,-0.5973945076746754,0,1
-2.389842166313845,0.6468353829020278,0,1
-2.0756309481765127,1.489177523321168,0,1
-2.444028835134153,0.04764419763001466,0,1
-2.232847158872015,0.22314807268959236,0,1
-2.334640477907621,-1.1153276754616663,0,1
-2.184328174933942,-0.46901356140237543,0,1
-2.166310100701323,1.0436906530538608,0,1
-2.3261308664426985,0.13307833523923207,0,1
-2.218450898822409,-0.7286761653165706,0,1
-2.633100695765228,-0.9615067291701629,0,1
-2.198740603266691,1.860057113293933,0,1
-2.262214531601023,2.686284485110594,0,1
-2.2075876958245932,1.4836093631555738,0,1
-2.1903495091922993,0.4888383164863283,0,1
-1.8985719958028429,1.4050187944665506,0,1
-2.3433690530749938,1.127849381908477,0,1
-1.914322996082568,0.40885570775590696,0,1
-2.207012843194799,0.9241214267468991,0,1
-2.7743447029273325,0.4583436677529162,0,1
-1.8186695286958494,0.08555852628736653,0,1
-2.2271633057066387,0.13725445536342765,0,1
-1.9518463309003757,-0.6256185877766763,0,1
-2.0511513727294157,0.24216355266166764,0,1
-2.168577174654217,0.5271495253082681,0,1
-2.1395634513013317,0.31321781013995253,0,1
-2.2652614931542403,-0.3377319037604803,0,1
-2.140122135647984,-0.5045406901415181,0,1
-1.8315947706760287,0.42369506760378667,0,1
-2.6149479358589356,1.7935758561044297,0,1
-2.446177391696516,2.1507278773929257,0,1
-2.109974875318652,-0.4602018414370371,0,1
-2.2078088990782656,-0.20610739768843636,0,1
-2.0451462067542017,0.661558111463109,0,1
-2.5273319131704866,0.5922927741908103,0,1
-2.4296325750845456,-0.9041800403761479,0,1
-2.169710711630664,0.26887896143547146,0,1
-2.2864751433456707,0.4417153876990508,0,1
-1.8581224563735703,-2.3374151575533486,0,1
-2.553638395614356,-0.4791006901223138,0,1
-1.964447683763741,0.47232666771926146,0,1
-2.1370590058116234,1.1422292620394094,0,1
-2.0697442995918296,-0.7110527253858939,0,1
-2.3847331657782633,1.1204297019845373,0,1
-2.394376314219633,-0.38624687258915685,0,1
-2.229446547942675,0.9979597643079811,0,1
-2.2038334355191305,0.00921635752127674,0,1
1.1017811830529478,0.8629724182621593,1,2
0.7313374253960876,0.5946147256694249,1,2
1.2409793195158314,0.6162976544374986,1,2
0.40748305881738645,-1.7544039893234111,1,0
1.0754747006090788,-0.2084210460509656,1,0
0.38868733653566573,-0.5932836359900756,1,0
0.746529741329161,0.7730193120985966,1,2
-0.4873227421256384,-1.852429086857575,1,0
0.9279016383549458,0.03222607789115388,1,0
